epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1655.96,0.84391,3.46694,1.1969,0.23251,0.40399,0.25474,0.20377,0.78666,2.17508,1.14377,0.00017454,0.00017454,0.00017454
2,1744.64,0.76563,2.55472,1.10661,0.29087,0.46467,0.30824,0.2419,0.83112,1.90272,1.15401,0.000336018,0.000336018,0.000336018
3,1833.12,0.73672,2.14616,1.07677,0.37998,0.57249,0.46343,0.36918,0.79735,1.53983,1.12655,0.00048361,0.00048361,0.00048361
4,1924.68,0.72115,1.85616,1.06382,0.71919,0.5784,0.69127,0.57787,0.70768,1.16223,1.05634,0.000463511,0.000463511,0.000463511
5,2015.1,0.71032,1.55775,1.05437,0.82087,0.60617,0.74652,0.6196,0.72936,1.09476,1.06801,0.000442682,0.000442682,0.000442682
6,2103.7,0.68701,1.37907,1.04065,0.7567,0.65308,0.75142,0.6298,0.67058,0.99855,1.01508,0.000421852,0.000421852,0.000421852
7,2192.26,0.65883,1.24378,1.03487,0.84063,0.70795,0.81998,0.69528,0.65427,0.84919,1.0097,0.000401022,0.000401022,0.000401022
8,2279.92,0.64601,1.13698,1.01578,0.86682,0.74051,0.84987,0.72106,0.66346,0.75986,1.00282,0.000380193,0.000380193,0.000380193
9,2368.76,0.64822,1.06692,1.01192,0.88951,0.79033,0.8934,0.75231,0.64793,0.66176,1.00257,0.000359363,0.000359363,0.000359363
10,2457.26,0.63021,1.0174,1.00622,0.9051,0.7929,0.89492,0.75193,0.64919,0.64329,1.00744,0.000338534,0.000338534,0.000338534
11,2546.62,0.63393,0.9808,1.01136,0.90891,0.82321,0.90012,0.76289,0.64408,0.59225,1.00186,0.000317704,0.000317704,0.000317704
12,2635.36,0.61515,0.94632,1.00152,0.94012,0.82014,0.90787,0.76518,0.63475,0.58367,0.9866,0.000296874,0.000296874,0.000296874
13,2724.62,0.60868,0.89992,0.99943,0.91847,0.80344,0.89992,0.76869,0.62601,0.56907,0.98336,0.000276045,0.000276045,0.000276045
14,2814.24,0.59578,0.87531,0.98992,0.92186,0.84518,0.92463,0.79313,0.62192,0.53334,0.97073,0.000255215,0.000255215,0.000255215
15,2901.66,0.59604,0.83372,0.98334,0.93553,0.84269,0.92149,0.78729,0.6107,0.52049,0.96592,0.000234386,0.000234386,0.000234386
16,2988.56,0.58514,0.61892,0.95815,0.93801,0.85895,0.93448,0.7968,0.60896,0.49366,0.96609,0.000213556,0.000213556,0.000213556
17,3073.09,0.57539,0.58704,0.94961,0.93697,0.8636,0.93363,0.79888,0.61271,0.47119,0.96989,0.000192726,0.000192726,0.000192726
18,3156.31,0.5582,0.53836,0.94127,0.95478,0.86802,0.94348,0.81024,0.59641,0.45534,0.9527,0.000171897,0.000171897,0.000171897
19,3240.78,0.55303,0.52338,0.93955,0.94826,0.86946,0.94791,0.80844,0.59422,0.43839,0.95663,0.000151067,0.000151067,0.000151067
20,3324.35,0.54797,0.50036,0.93874,0.95893,0.86885,0.94714,0.81521,0.59192,0.43889,0.95416,0.000130238,0.000130238,0.000130238
21,3408.94,0.54168,0.46681,0.92626,0.92901,0.89147,0.95131,0.81877,0.58588,0.4169,0.94647,0.000109408,0.000109408,0.000109408
22,3494.82,0.52916,0.46416,0.92497,0.96102,0.8836,0.95494,0.82492,0.57677,0.40434,0.94524,8.85784e-05,8.85784e-05,8.85784e-05
23,3580.84,0.51941,0.45085,0.9267,0.93974,0.90041,0.9563,0.82349,0.57736,0.39581,0.94072,6.77488e-05,6.77488e-05,6.77488e-05
24,3670.22,0.51498,0.4262,0.91487,0.95337,0.89451,0.95737,0.82671,0.57472,0.3883,0.94218,4.69192e-05,4.69192e-05,4.69192e-05
25,3755.18,0.50937,0.4131,0.91535,0.95281,0.89305,0.95851,0.83028,0.56545,0.37878,0.93524,2.60896e-05,2.60896e-05,2.60896e-05
